;precision;recall;f1-score;support
0;0.6674876847290641;0.5681341719077568;0.6138165345413363;477.0
1;0.6871165644171779;0.5371702637889688;0.6029609690444145;417.0
2;0.7065368567454798;0.655483870967742;0.6800535475234271;775.0
3;0.89;0.664179104477612;0.7606837606837609;134.0
4;0.7876954109934443;0.8326226012793176;0.8095361492614667;1876.0
5;0.7772177419354839;0.6578498293515358;0.7125693160813309;1172.0
6;0.6;0.1388888888888889;0.22556390977443608;108.0
7;0.9322033898305084;0.6748466257668712;0.7829181494661921;163.0
8;0.6206896551724138;0.5167464114832536;0.5639686684073107;627.0
9;0.7318840579710145;0.5906432748538012;0.6537216828478964;171.0
10;0.7755102040816326;0.5066666666666667;0.6129032258064516;150.0
11;0.6684782608695652;0.4522058823529412;0.5394736842105263;272.0
12;0.7142857142857143;0.041666666666666664;0.07874015748031496;120.0
13;0.6923076923076923;0.6384083044982699;0.6642664266426642;578.0
14;0.7123287671232876;0.23529411764705882;0.3537414965986394;221.0
15;0.6725352112676056;0.4580335731414868;0.5449358059914408;417.0
16;0.68;0.1328125;0.2222222222222222;128.0
17;0.6746031746031746;0.6746031746031746;0.6746031746031746;126.0
18;1.0;0.06363636363636363;0.11965811965811964;110.0
19;0.743801652892562;0.45454545454545453;0.5642633228840125;198.0
20;0.8024691358024691;0.39156626506024095;0.5263157894736842;166.0
21;0.8583765112262521;0.8283333333333334;0.8430873621713317;600.0
22;0.9142857142857143;0.8205128205128205;0.8648648648648648;156.0
23;0.7228464419475655;0.6266233766233766;0.671304347826087;616.0
24;0.7088452088452089;0.7176616915422885;0.7132262051915945;804.0
25;0.8529411764705882;0.5576923076923077;0.6744186046511628;104.0
26;0.7536231884057971;0.5714285714285714;0.6499999999999999;455.0
27;0.7338709677419355;0.5384615384615384;0.621160409556314;169.0
28;0.6129032258064516;0.07983193277310924;0.14126394052044608;238.0
29;0.6666666666666666;0.44036697247706424;0.5303867403314918;109.0
30;0.900990099009901;0.7054263565891473;0.791304347826087;129.0
31;0.8333333333333334;0.07751937984496124;0.14184397163120568;129.0
32;0.7209302325581395;0.5149501661129569;0.6007751937984496;301.0
33;0.8478260869565217;0.6414473684210527;0.7303370786516854;304.0
34;0.6785714285714286;0.31932773109243695;0.4342857142857143;119.0
35;0.7619047619047619;0.25806451612903225;0.38554216867469876;186.0
36;0.7452830188679245;0.4438202247191011;0.5563380281690141;178.0
37;0.6;0.09316770186335403;0.16129032258064516;161.0
38;0.7142857142857143;0.2564102564102564;0.3773584905660377;117.0
39;0.6821192052980133;0.19507575757575757;0.30338733431516934;528.0
40;0.5609756097560976;0.4088888888888889;0.4730077120822623;225.0
41;0.7766990291262136;0.4968944099378882;0.6060606060606061;161.0
42;0.8961038961038961;0.700507614213198;0.7863247863247862;197.0
43;0.8181818181818182;0.75;0.7826086956521738;144.0
44;0.625;0.07853403141361257;0.13953488372093023;191.0
45;0.7786885245901639;0.6375838926174496;0.7011070110701106;149.0
46;0.6625;0.3897058823529412;0.4907407407407407;136.0
47;0.6046511627906976;0.39543726235741444;0.4781609195402298;263.0
48;0.6608695652173913;0.459214501510574;0.5418894830659536;331.0
49;0.7016129032258065;0.5686274509803921;0.628158844765343;153.0
50;0.8046511627906977;0.6383763837638377;0.711934156378601;271.0
51;0.647887323943662;0.2948717948717949;0.4052863436123348;156.0
52;0.8128654970760234;0.5815899581589958;0.6780487804878049;239.0
53;0.7769784172661871;0.4976958525345622;0.6067415730337078;217.0
54;0.0;0.0;0.0;149.0
55;0.8153846153846154;0.3271604938271605;0.46696035242290757;162.0
56;0.75;0.22900763358778625;0.3508771929824562;131.0
micro avg;0.7436019710697822;0.5476469210957621;0.6307557473201645;17084.0
macro avg;0.7287684856607627;0.4566003871263691;0.5323953214167679;17084.0
weighted avg;0.7308221794337231;0.5476469210957621;0.6038244389044842;17084.0
samples avg;0.7309785374353213;0.5403998398227687;0.5877567764222237;17084.0
