;precision;recall;f1-score;support
0;0.6149936467598475;0.3805031446540881;0.47013113161729;1272.0
1;0.7136264270099587;0.7605487962723272;0.7363408521303259;3863.0
2;0.6115107913669064;0.3368560105680317;0.434412265758092;757.0
3;0.0;0.0;0.0;59.0
4;0.638689866939611;0.47706422018348627;0.5461706783369803;1308.0
5;0.5972060535506403;0.39552814186584423;0.4758812615955472;1297.0
6;0.745850622406639;0.56414280109847;0.6423944605762788;2549.0
7;0.0;0.0;0.0;143.0
8;0.0;0.0;0.0;262.0
9;0.46153846153846156;0.05761316872427984;0.10243902439024392;729.0
10;0.6081081081081081;0.1814516129032258;0.27950310559006214;248.0
11;0.7222222222222222;0.08024691358024691;0.14444444444444443;162.0
12;0.6684280052840158;0.49852216748768474;0.5711060948081265;1015.0
13;0.782608695652174;0.7400241837968561;0.7607209446861405;827.0
14;0.5173210161662818;0.3146067415730337;0.39126637554585153;712.0
15;0.6468489892984542;0.44995864350703063;0.5307317073170732;1209.0
16;0.6931216931216931;0.35939643347050754;0.4733514001806684;729.0
17;0.6111111111111112;0.5038167938931297;0.5523012552301255;131.0
18;0.6255924170616114;0.33;0.4320785597381342;400.0
19;0.8023952095808383;0.708994708994709;0.752808988764045;189.0
20;0.4339622641509434;0.08455882352941177;0.14153846153846153;272.0
21;0.0;0.0;0.0;231.0
22;0.7727272727272727;0.5619834710743802;0.6507177033492823;484.0
23;0.3333333333333333;0.006134969325153374;0.012048192771084336;163.0
24;0.0;0.0;0.0;118.0
25;0.5;0.025;0.047619047619047616;120.0
26;0.8455284552845529;0.6322188449848024;0.7234782608695652;658.0
27;0.6426966292134831;0.37142857142857144;0.47078189300411527;770.0
28;0.6124031007751938;0.16596638655462184;0.2611570247933884;476.0
29;0.6919191919191919;0.545816733067729;0.6102449888641425;502.0
30;0.0;0.0;0.0;138.0
31;0.49523809523809526;0.23423423423423423;0.3180428134556575;222.0
32;0.0;0.0;0.0;71.0
33;0.6148648648648649;0.2072892938496583;0.31005110732538327;439.0
34;0.7752808988764045;0.7540983606557377;0.7645429362880887;183.0
35;0.8316326530612245;0.6417322834645669;0.7244444444444446;254.0
36;0.4;0.06578947368421052;0.11299435028248586;152.0
37;0.6666666666666666;0.06299212598425197;0.11510791366906475;127.0
38;0.7777777777777778;0.08860759493670886;0.15909090909090906;158.0
39;0.6296296296296297;0.0752212389380531;0.13438735177865613;226.0
40;0.0;0.0;0.0;91.0
41;0.7458333333333333;0.6884615384615385;0.716;260.0
42;0.0;0.0;0.0;130.0
43;0.0;0.0;0.0;130.0
44;0.8333333333333334;0.07462686567164178;0.136986301369863;67.0
45;0.0;0.0;0.0;134.0
46;0.7111111111111111;0.25396825396825395;0.3742690058479532;126.0
47;0.0;0.0;0.0;105.0
48;0.0;0.0;0.0;70.0
49;0.6896551724137931;0.13245033112582782;0.22222222222222227;151.0
50;0.0;0.0;0.0;79.0
51;0.46153846153846156;0.043478260869565216;0.07947019867549669;138.0
52;0.7105263157894737;0.39416058394160586;0.5070422535211269;137.0
53;0.0;0.0;0.0;69.0
54;0.0;0.0;0.0;76.0
55;0.0;0.0;0.0;77.0
56;0.0;0.0;0.0;133.0
micro avg;0.6883898889794894;0.42874443315884053;0.5283936352037747;25598.0
macro avg;0.4427514368108195;0.23244724074251713;0.27874245493841876;25598.0
weighted avg;0.6104084198998769;0.42874443315884053;0.48340194145716797;25598.0
samples avg;0.6789272821041774;0.47625990435557225;0.5133731123803327;25598.0
