;precision;recall;f1-score;support
0;0.32847778587035686;0.7321428571428571;0.45349421820010055;616.0
1;0.2740066225165563;0.6939203354297694;0.39287833827893176;477.0
2;0.1829121540312876;0.6386554621848739;0.284377923292797;238.0
3;0.26240458015267176;0.6594724220623501;0.3754266211604096;417.0
4;0.3832599118942731;0.6420664206642066;0.48;271.0
5;0.40476190476190477;0.53125;0.4594594594594595;128.0
6;0.32273838630806845;0.7719298245614035;0.4551724137931034;171.0
7;0.35526315789473684;0.7465437788018433;0.4814264487369985;217.0
8;0.41935483870967744;0.78;0.5454545454545455;150.0
9;0.28413654618473894;0.6786570743405276;0.40056617126680816;417.0
10;0.6064516129032258;0.7175572519083969;0.6573426573426573;131.0
11;0.34;0.40476190476190477;0.36956521739130443;126.0
12;0.42745098039215684;0.7124183006535948;0.5343137254901961;153.0
13;0.3811188811188811;0.6449704142011834;0.47912087912087914;169.0
14;0.33201581027667987;0.5384615384615384;0.41075794621026895;156.0
15;0.4422202001819836;0.8293515358361775;0.5768545994065282;1172.0
16;0.2220039292730845;0.5113122171945701;0.3095890410958904;221.0
17;0.31896551724137934;0.6686746987951807;0.43190661478599224;166.0
18;0.4175257731958763;0.680672268907563;0.5175718849840256;119.0
19;0.27599486521181;0.7439446366782007;0.40262172284644193;578.0
20;0.24765478424015008;0.6910994764397905;0.36464088397790057;191.0
21;0.4840764331210191;0.4662576687116564;0.47500000000000003;163.0
22;0.69140625;0.7547974413646056;0.7217125382262997;1876.0
23;0.26848249027237353;0.6272727272727273;0.37602179836512256;110.0
24;0.32335329341317365;0.7120879120879121;0.4447494852436514;455.0
25;0.2574002574002574;0.6644518272425249;0.3710575139146568;301.0
26;0.3303964757709251;0.5813953488372093;0.4213483146067416;129.0
27;0.3901639344262295;0.7933333333333333;0.523076923076923;600.0
28;0.23776223776223776;0.7083333333333334;0.35602094240837695;528.0
29;0.31382978723404253;0.5989847715736041;0.4118673647469459;197.0
30;0.27298850574712646;0.5864197530864198;0.37254901960784315;162.0
31;0.3872340425531915;0.6319444444444444;0.48021108179419525;144.0
32;0.327683615819209;0.48333333333333334;0.3905723905723906;120.0
33;0.3474178403755869;0.6851851851851852;0.4610591900311527;108.0
34;0.23098201936376211;0.6349809885931559;0.33874239350912777;263.0
35;0.23404255319148937;0.5981873111782477;0.3364485981308411;331.0
36;0.40714285714285714;0.5229357798165137;0.4578313253012048;109.0
37;0.2126865671641791;0.6129032258064516;0.31578947368421056;186.0
38;0.22554660529344073;0.7205882352941176;0.3435582822085889;272.0
39;0.24824355971896955;0.5955056179775281;0.3504132231404959;178.0
40;0.26785714285714285;0.6;0.37037037037037035;225.0
41;0.3072812291249165;0.733652312599681;0.4331450094161959;627.0
42;0.23486682808716708;0.6024844720496895;0.3379790940766551;161.0
43;0.27933673469387754;0.7203947368421053;0.40257352941176466;304.0
44;0.3852140077821012;0.41422594142259417;0.3991935483870968;239.0
45;0.39416058394160586;0.39705882352941174;0.3956043956043956;136.0
46;0.26171875;0.5726495726495726;0.3592493297587131;117.0
47;0.41409691629955947;0.6308724832214765;0.5;149.0
48;0.3374485596707819;0.6119402985074627;0.4350132625994695;134.0
49;0.41025641025641024;0.46153846153846156;0.4343891402714932;104.0
50;0.3824561403508772;0.6770186335403726;0.48878923766816146;161.0
51;0.2711864406779661;0.6153846153846154;0.3764705882352941;156.0
52;0.3548387096774194;0.6666666666666666;0.46315789473684216;198.0
53;0.24166666666666667;0.5838926174496645;0.3418467583497053;149.0
54;0.35749053542455383;0.822139303482587;0.49830380701093097;804.0
55;0.3630175836642087;0.8258064516129032;0.504334121355398;775.0
56;0.3950617283950617;0.49612403100775193;0.4398625429553264;129.0
micro avg;0.3350757233273056;0.6941582767501756;0.45197804710724904;17084.0
macro avg;0.3346932023806998;0.6390984224386534;0.43001497896617225;17084.0
weighted avg;0.366785920376742;0.6941582767501756;0.46798473398559753;17084.0
samples avg;0.4136432622462084;0.6546297807518634;0.4591552780385914;17084.0
