;precision;recall;f1-score;support
0;0.27309236947791166;0.674937965260546;0.3888491779842745;1209.0
1;0.15625;0.6390449438202247;0.2511037527593819;712.0
2;0.0323949093713845;0.36363636363636365;0.059490084985835696;231.0
3;0.16127911018421967;0.6364883401920439;0.25734886300610094;729.0
4;0.20642768850432633;0.6653386454183267;0.3150943396226415;502.0
5;0.00821917808219178;0.04285714285714286;0.013793103448275862;70.0
6;0.012698412698412698;0.08695652173913043;0.022160664819944602;138.0
7;0.024282560706401765;0.18333333333333332;0.04288499025341131;120.0
8;0.011406844106463879;0.1016949152542373;0.020512820512820513;59.0
9;0.15183106121357925;0.750330250990753;0.25255669186305024;757.0
10;0.013888888888888888;0.04225352112676056;0.020905923344947733;71.0
11;0.08748615725359911;0.35585585585585583;0.14044444444444446;222.0
12;0.025044722719141325;0.11023622047244094;0.04081632653061225;127.0
13;0.04207573632538569;0.19736842105263158;0.06936416184971099;152.0
14;0.052508751458576426;0.2459016393442623;0.08653846153846154;183.0
15;0.4561358374067404;0.695566888976069;0.5509633312616532;2549.0
16;0.04668838219326819;0.3282442748091603;0.0817490494296578;262.0
17;0.027204502814258912;0.20279720279720279;0.04797353184449959;143.0
18;0.014492753623188406;0.057971014492753624;0.02318840579710145;69.0
19;0.20658769141866512;0.7044334975369458;0.31948168007149236;1015.0
20;0.02106969205834684;0.19402985074626866;0.03801169590643275;134.0
21;0.12166859791425261;0.41338582677165353;0.1880035810205909;254.0
22;0.6023897816234034;0.7569246699456381;0.6708730067683836;3863.0
23;0.011278195488721804;0.07792207792207792;0.019704433497536946;77.0
24;0.18107435076485237;0.6610389610389611;0.284278134599274;770.0
25;0.08898305084745763;0.525;0.15217391304347824;400.0
26;0.012903225806451613;0.0759493670886076;0.022058823529411766;79.0
27;0.21826118588577664;0.7255139056831923;0.33557046979865773;827.0
28;0.1150872542522642;0.7146776406035665;0.1982496194824962;729.0
29;0.09494163424124513;0.46923076923076923;0.15792880258899675;260.0
30;0.037927844588344126;0.25308641975308643;0.0659694288012872;162.0
31;0.05516014234875445;0.2366412213740458;0.08946608946608949;131.0
32;0.012106537530266344;0.047619047619047616;0.019305019305019305;105.0
33;0.0113314447592068;0.05263157894736842;0.018648018648018648;76.0
34;0.09061488673139159;0.5294117647058824;0.15474362910653977;476.0
35;0.09357652656621729;0.5375854214123007;0.15940560621411684;439.0
36;0.022727272727272728;0.0989010989010989;0.03696098562628337;91.0
37;0.017763157894736842;0.1656441717791411;0.0320855614973262;163.0
38;0.04327731092436975;0.3786764705882353;0.07767722473604825;272.0
39;0.02403495994173343;0.2185430463576159;0.04330708661417323;151.0
40;0.04628224582701062;0.26991150442477874;0.07901554404145077;226.0
41;0.25055005500550054;0.7161949685534591;0.3712306438467808;1272.0
42;0.012681159420289856;0.11864406779661017;0.022913256955810146;118.0
43;0.12144288577154308;0.6260330578512396;0.20342396777442093;484.0
44;0.21384205856255545;0.7325227963525835;0.33104395604395603;658.0
45;0.12550066755674233;0.3790322580645161;0.1885656970912738;248.0
46;0.019966722129783693;0.09022556390977443;0.03269754768392371;133.0
47;0.03885480572597137;0.15079365079365079;0.06178861788617887;126.0
48;0.036741214057507986;0.1678832116788321;0.06028833551769331;137.0
49;0.03056768558951965;0.1044776119402985;0.0472972972972973;67.0
50;0.027522935779816515;0.11538461538461539;0.044444444444444446;130.0
51;0.021963824289405683;0.13076923076923078;0.037610619469026545;130.0
52;0.029787234042553193;0.17721518987341772;0.051001821493624776;158.0
53;0.02306805074971165;0.14492753623188406;0.03980099502487562;138.0
54;0.26035339591385975;0.7209480122324159;0.3825557809330629;1308.0
55;0.2386623912047641;0.8033924441017734;0.36800282535758433;1297.0
56;0.08258258258258258;0.291005291005291;0.1286549707602339;189.0
micro avg;0.16409346852862927;0.599968747558403;0.2577040212767743;25598.0
macro avg;0.09590425483422434;0.3501231803578792;0.14421012732000205;25598.0
weighted avg;0.2509100172531726;0.599968747558403;0.33341196986187865;25598.0
samples avg;0.22817826275268016;0.6372957788300749;0.2904089080907179;25598.0
